Exam Session,Question No,Marks est,Main Topic,Sub-topic,Requirement Type,Strategic Framework,Technology Area,Difficulty,Cognitive Level,Repetition,Model Answer Theme,Exam Technique,Source,Priority
Sept 2017,Q1 Blakes Blinds 1.1,10,Competitive advantage,Resource vs Positioning margin,Explain/evaluate sustainability differentiation,Porter Generic Kay,None,Moderate,Analysis,High - similar MSL,Focused differentiation internal R&D Auto-Close external competition exchange,PEA-C identify focused diff apply Auto-Close to differentiation analyse sustainability internal external,ICAB Workbook 2024 p12-17,Very High
Sept 2017,Q1 Blakes 1.2,22-20,Financial performance analysis,GP margin sales mix variance budget,Calculate + Discuss ability achieve budget,None - margin safety variance,Data analysis,Moderate,Application,High - MSL margin,GP margin by revenue stream sales mix GP mix exchange rate impact cost ratios % changes 20X5-20X6 discussion Board concerns fall operating profit reduced GP increased fixed costs,Table calc first then discussion ambitious growth competitor seasonality fixed costs assumptions,ICAB Workbook 2024,Very High
Sept 2017,Q1 Blakes 1.3 1.4,4+8+11 3+5+7,Acquisition & Transfer pricing & Ethics,Backwards vertical integration operating gearing transfer pricing options ethical issues,Evaluate advantages disadvantages ethical implications,Acquisition methods Transfer Pricing options cost profit centre,M&A Transfer Pricing,Ethics,Moderate-Hard,Evaluation,Medium - franchising repeats,Balanced consideration control risks flexibility overseas new markets goal congruence behavioural capacity external market reporting profit tax legal implications + realistic actions financial controller,SAF + TARA for risks + ethics actions brief discussion implications conclusion,ICAB Workbook 2024,Very High
Sept 2017,Q2 Air Services 3.1 3.2 3.3 3.4,3+5+8 2+6+7 2+6+7 1+3+4,Cyber security & People & R&D & Control,Control risks strategic fit preliminary advice TARA recruitment retention innovation,Cyber risks TARA control recruitment R&D evaluation,TARA Risk Matrix Resource audit,Cloud network cyber risk People,Moderate-Hard,Analysis Evaluation,Medium - cybersecurity recurring,Quantity quality people short/med/long recruitment retention skills availability training flexibility workforce R&D innovation keep current services develop new ones technology risks investment funding required - specific risks hacking DoS sabotage impact reputational financial safety deaths fines loss contracts widespread network cloud increase risk,Headings per requirement control section risks section strategic fit preliminary advice apply scenario,ICAB Workbook 2024,High
Sept 2017,Q3 Purechoc,26,Strategic fit & Growth methods,Share sale vs franchising share sale Koreto Inc expansion franchising,Evaluate strategic fit recommend,Strategic fit SFA,None,Moderate,Evaluation,High - franchising repeats,Structure four headings one strategic fit highlight likely issues appropriateness long-term perspective how Purechoc strategy to date fitted two options,Four headings approach + detailed scenario fact,ICAB Workbook 2024,High
Nov-Dec 2021,Q1,10,Business strategy definition & ethics,Objectives ethical climate,Define explain impact ethics on strategy,None,Ethics,Foundation,Knowledge Application,Low but ethics always,Impact ethics formulation objectives external appraisal ethical climate sustainable present future ethical expectations implementation,Bullet ethics impact 4 points,ND2021 Suggested Answers,Medium
Nov-Dec 2021,Q2,20,RMG sector crisis & Recovery planning,PESTEL Macro Global supply chain,Analyse sector crisis recovery government support,PESTEL Supply Chain,Supply chain disruption,Easy Moderate,Analysis,High - RMG repeated,4 600 factories largest industrial 36% manufacturing 11.2% GDP monthly wages 470m BGMEA appeal international buyers take delivery goods already produced pay wages under production long term planning necessary government sector leaders 3 ways stickiness orders diversification support,PESTEL headings with RMG specifics % GDP etc,ND2021 Suggested Answers,Very High
Nov-Dec 2021,Q3,15,Ansoff matrix & Outsourcing,Internal efficiency market penetration product dev outsourcing cleaning services,Analyse strategic options evaluate outsourcing cost benefit risk,Ansoff Matrix Outsourcing evaluation,Internal efficiency,Easy,Application Analysis,Very High,Internal efficiency market penetration outsourcing some manufacturing presumably attempt increasing internal efficiency match competitors low cost - cleaning outsourcing fees contractors cost presently incurred financial returns transfer assets redundancy SLA monitoring compliance financial stability robustness track record controls performance indicators,SFA for outsourcing + Ansoff mapping,ND2021 Suggested Answers,Very High
July-Aug 2022,Q1a,10,Tourism competitiveness,Porter Diamond national competitiveness,Analyse Diamond model,Porter Diamond,None,Moderate,Analysis,Medium,Although tourism industry Bangladesh growing government supporting underdeveloped compared other countries Diamond model 4 factors competitive advantages industry country over comparable other countries,Apply Diamond 4 factor conditions demand related supporting firm strategy rivalry,JA2022 Suggested Answers,Medium
July-Aug 2022,Q2,15,Product life cycle & Marketing mix maturity,Trading down up proliferation intensive promotion,Explain PLC stages recommend marketing strategies,PLC Ansoff Marketing Mix,None,Moderate,Application Analysis,High - PLC frequent,Intensive promotion brand-stressing advertising more attractive design functional packaging more after-sales service heavier POS effort increase sales promotion hold loyalty trading down low-priced models price-cutting close private levels fighting brand trading up improvement quality appearances prestige packages price increase cream market levels proliferation more designs varieties more exclusive innovative features,Template PLC stage + marketing tactics,JA2022 Suggested Answers,High
